UserID;Name;Contact;Email
User001;Christiana Castaneda;9002601;christiana_castaneda@gmail.com
User002;Matas Mcgowan;8296800;matas_mcgowan@outlook.com
User003;Evie-Grace Gale;8333617;evie-grace_gale@yahoo.com.sg
User004;Terence Knight;8157192;terence_knight@gmail.com
User005;Phyllis Burt;9585675;phyllis_burt@gmail.com
User006;Aiza Crossley;9325634;aiza_crossley@outlook.com
User007;Huxley Chang;8971337;huxley_chang@gmail.com
User008;Sanjay Reeves;8805514;sanjay_reeves@outlook.com
User009;Lillie-Rose Blackwell;9990552;lillie-rose_blackwell@gmail.com
User010;Harriett Robin;9923961;harriett_robin@gmail.com
User011;Shahid Trevino;9073824;shahid_trevino@yahoo.com.sg
User012;Ayrton Summers;9496613;ayrton_summers@outlook.com
User013;Jonas Lott;8934935;jonas_lott@gmail.com
User014;Lianne Rosa;9565994;lianne_rosa@outlook.com
User015;Kaja Holding;8200827;kaja_holding@yahoo.com.sg
User016;Hilda Forrest;8471132;hilda_forrest@gmail.com
User017;Augustus Orr;8352059;augustus_orr@yahoo.com.sg
User018;Nabila Odling;9418684;nabila_odling@yahoo.com.sg
User019;Freja Rowley;9622055;freja_rowley@gmail.com
User020;Cairon Alvarado;9436148;cairon_alvarado@gmail.com
